,Tic,Date,Elapsed_Days,Type,Negative,Positive,Uncertainty,Litigious,Constraining,Superfluous,Interesting,Modal,Positiv,Negativ,Pstv,Ngtv,Strong,Weak,Active,Passive,EMOT,Virtue,Vice,Ovrst,Undrst,Role,Need,Goal,Try,Means,Persist,Complet,Fail,Think,Know,Causal,Ought,Perceiv,Compare,EVAL,Solve,ABS
0,AAC,2014-11-12,,10Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AAC,2015-03-11,119.0,10K,0.8076923076923077,0.2558139534883721,0.8500000000000001,1.1,1.1363636363636362,0.0,0.6071428571428571,1.135135135135135,0.8133635051763586,0.4353048891913325,0.9007918808685837,0.3777077634619481,0.646226674471083,0.36978466277910094,0.6968744224218955,0.6790936636334886,0.3983516478245379,1.124461072842038,0.4705213874138683,0.6341604747732345,0.7686549222877731,0.3025932207086155,0.3005402624950193,0.5317875842231543,0.69759248400392,0.6581188622438131,0.47368421055124665,0.28780088828458983,6.0,1.0,0.931778703270415,1.2103861516686674,0.0,0.39131327632066415,-0.036697248441713626,0.5459887274363806,0.7769023118957976,-0.03491950328670956
3,AAC,2015-05-05,55.0,10Q,-1.5512820512820513,-1.255813953488372,-0.9375000000000001,-2.4333333333333336,-2.5,0.0,2.0357142857142856,-1.4864864864864864,-1.5631487417971286,-0.8235170397549779,-1.7908518602559078,-0.7262106192835143,-1.0028852425861166,-0.6086645676137427,-1.0042332672237273,-1.1715999715000394,-1.140109889617558,-2.0310261496111908,-0.562571026004021,-1.054352586517913,-0.8422911442702183,-0.6117021272998497,-0.679804476567211,-1.0478683621612368,-1.351183850993371,-1.055121221998243,-0.5368421052914129,-0.3701799485729974,-40.0,-1.0,-1.3191487646009752,-1.7856191742438754,-0.25,-0.5706951429616431,-1.7522935775321948,-0.9907462925388526,-1.10046767986533,-0.5932808572296235
5,AAC,2015-08-03,90.0,10Q,0.33333333333333326,0.3953488372093023,0.36249999999999993,0.39999999999999997,-0.18181818181818177,0.0,-2.75,0.05405405405405406,0.35450793032142836,0.507087258456497,0.27956229679226163,0.5100563876187194,0.3003202029530878,0.34067580209933435,0.08661216898512425,0.3660914242218176,0.4120879121951454,0.24076818695257418,0.28774035179905244,0.5021709059511249,0.41612187428591785,0.21657311955902792,0.34916387962201767,0.49364248324512233,0.4511792185107464,0.35650607015348246,0.28947368417313013,0.6543584945913795,0.0,0.0,0.3766733865812544,0.352862849283317,0.0,0.27312865772065886,0.4587155962737144,0.2940600389840653,0.30870032322209906,0.5294846474039723
7,AAC,2015-11-10,99.0,10Q,0.21794871794871806,-0.09302325581395343,-0.02499999999999991,0.30000000000000004,0.31818181818181823,0.0,0.1428571428571429,0.08108108108108103,0.05763613914426513,-0.04500688860813451,0.04618682965963061,-0.047550220879206684,0.04192707565173659,0.1369137799148067,0.12086545109302937,0.004347253325162059,0.13186813183914992,0.11226385551506246,0.06750306840126818,-0.045341003871761654,-0.05697555315341751,0.155789061470057,-0.01705685618843189,-0.14210919942290345,0.006836048694675245,0.043481169255778385,0.0,0.3598971723000892,0.0,1.0,0.018421518162401007,-0.051930758982484226,0.0,0.0071875964918626245,0.02446483189080617,0.09453571605577071,0.10579175177946354,0.026874644681074367
9,AAC,2016-03-09,120.0,10K,0.7692307692307692,0.7209302325581395,0.6625000000000001,0.8333333333333333,1.4545454545454546,0.0,0.0714285714285714,1.1081081081081083,0.6462798832684029,0.3472486464813702,0.6173011621112796,0.30008725191893215,0.40452364972671306,0.3136011580306206,0.6529618893752984,0.6395883784377319,0.24065934060644856,0.9188875422957006,0.37928996758818245,0.41020550155548396,0.2812586051809707,0.31163251055269336,0.035991767560935806,0.467464472470825,0.6225749868038539,0.38666153497931743,0.34210526322853196,-0.07805562053226356,7.0,2.0,0.5883838078016377,1.061251664547403,0.25,0.5429715573308986,1.0061162084405915,0.32471919074822364,0.45216905246804373,0.10738874495900719
10,AAC,2016-05-06,58.0,10Q,-1.1538461538461537,-0.8837209302325582,-1.0625,-1.3666666666666667,-1.4545454545454546,0.0,2.8928571428571432,-1.1081081081081083,-1.0586670020269617,-0.7308539827954895,-1.0449042062673661,-0.6950955489305972,-0.6844315333829847,-0.5331602694061672,-0.8117810268557037,-0.981177102099545,-0.9329670329597876,-1.2940049620827891,-0.6008909494994984,-0.7685196827737351,-0.8984216438655961,-0.5717595614429083,-0.5617442759573072,-0.40164547500398606,-1.0230535101899223,-0.7075384031968399,-0.4473684210235457,-0.7529796680620743,-7.0,1.0,-0.9585646519937169,-1.2942743007942181,-0.25,-0.9202176811483546,-1.3853211014820301,-0.7115761282435726,-1.0302106097502373,-0.7098918038328911
12,AAC,2016-08-05,91.0,10Q,0.2435897435897436,0.39534883720930236,0.22499999999999998,0.3666666666666667,0.18181818181818177,0.0,-3.428571428571429,0.16216216216216217,0.2633436002898156,0.31356246160573187,0.2748841305338515,0.3261445689334854,0.19905398134878516,0.28103668377305824,0.016914897309704302,0.19332103775699616,0.2307692309163144,0.24765682100804975,0.2052366016581143,0.3134458416090917,0.33456108941269225,0.25127267979041434,0.25785953178982335,0.29169783100848135,0.16406517062731385,0.3445284755151794,0.1842105262202215,0.09161018954118072,1.0,1.0,0.25291008347761845,0.21704394117528147,0.0,0.24150323439847998,0.3975535168219285,0.19166966439421274,0.32765211486281076,0.4991511952269828
14,AAC,2016-11-08,95.0,10Q,0.038461538461538436,0.11627906976744184,0.11250000000000004,0.3666666666666666,0.045454545454545414,0.0,-0.0714285714285714,0.18918918918918926,0.09478911298484072,0.045238435069915095,0.062086400336394565,0.04265759341591502,0.08987627606707427,0.03479445083459609,0.018579079530492315,0.12949545563707154,0.0,0.03404655017505864,-0.03000136367025763,0.06540837769793817,0.054090715075303386,-0.031109950591887037,0.044147157193588527,0.12341062081128062,0.21932323064608383,0.08203504870420986,0.2105263159058175,0.18322037829713078,0.0,7.0,-0.0029125073452649364,0.02663115866560528,0.0,-0.10781394392789279,0.23241590169660253,-0.04676819703723911,0.030257092928250184,0.07399920990146924
16,ABT,2014-11-06,,10Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
